"Reference";"Value";"Footprint";"Qty";"Description"
"C1_IN12";"0.1u";"Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"1";""
"C2_IN12";"10u";"Capacitor_SMD:C_Elec_4x5.4";"1";""
"C3_IN12";"100u";"Capacitor_SMD:C_Elec_6.3x5.4";"1";"Polarized capacitor"
"C4_OUT5";"220u";"Capacitor_SMD:C_Elec_6.3x7.7";"1";"Polarized capacitor"
"C5_FF1";"10n";"Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"1";"Unpolarized capacitor"
"C6_IN5";"0.1u";"Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"1";""
"C8_IN5";"10u";"Capacitor_SMD:CP_Elec_4x5.4";"1";""
"C11_IN33";"0.1u";"Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"1";""
"C12_IN33";"10u";"Capacitor_SMD:CP_Elec_4x5.4";"1";""
"C13_IN33";"0.1u";"Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"1";""
"C14_IN33";"10u";"Capacitor_SMD:CP_Elec_4x5.4";"1";""
"Conn1";"jamma";"symbols_fps:JAMMA-56";"1";""
"Conn2";"jamma";"symbols_fps:JAMMA-56_inverted";"1";""
"D1";"LED_5mm";"LED_THT:LED_D5.0mm";"1";"Common 5mm diameter LED"
"D2";"LED_5mm";"LED_THT:LED_D5.0mm";"1";"Common 5mm diameter LED"
"D3";"LED_5mm";"LED_THT:LED_D5.0mm";"1";"Common 5mm diameter LED"
"D4_SCHTKY1";"1n5822";"Diode_THT:D_DO-201AD_P15.24mm_Horizontal";"1";"40V 3A Schottky Barrier Rectifier Diode, DO-201AD"
"IC1";"74HC595D";"symbols_fps:SOIC127P600X175-16N";"1";"IC SHIFT REGISTER 8BIT 16SOP"
"IC2";"74HC595D";"symbols_fps:SOIC127P600X175-16N";"1";"IC SHIFT REGISTER 8BIT 16SOP"
"IC3";"74HC595D";"symbols_fps:SOIC127P600X175-16N";"1";"IC SHIFT REGISTER 8BIT 16SOP"
"IC4";"74HC595D";"symbols_fps:SOIC127P600X175-16N";"1";"IC SHIFT REGISTER 8BIT 16SOP"
"L1";"47u";"Inductor_SMD:L_6.3x6.3_H3";"1";"Inductor"
"R1_LED1";"200";"Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";"1";"Resistor"
"R2_LED1";"100";"Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";"1";"Resistor"
"R3_LED1";"100";"Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";"1";"Resistor"
"R4_FF1";"1k";"Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";"1";"Resistor"
"R5_FF1";"3k";"Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";"1";"Resistor"
"U1";"ESP32-C3_SUPERMINI";"symbols_fps:MODULE_ESP32-C3_SUPERMINI";"1";""
"U2";"LM2596T-ADJ";"Package_TO_SOT_THT:TO-220-5_Vertical_Pavel";"1";"Adjustable 3A 150kHz Step-Down Voltage Regulator, TO-220"
